Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Deaths
Anhui,Mainland China,1/23/20 12:00 pm,9,4,,
Beijing,Mainland China,1/23/20 12:00 pm,22,,,
Chongqing,Mainland China,1/23/20 12:00 pm,9,,,
Fujian,Mainland China,1/23/20 12:00 pm,5,2,,
Gansu,Mainland China,1/23/20 12:00 pm,2,,,
Guangdong,Mainland China,1/23/20 12:00 pm,32,1,2,
Guangxi,Mainland China,1/23/20 12:00 pm,5,,,
Guizhou,Mainland China,1/23/20 12:00 pm,3,,,
Hainan,Mainland China,1/23/20 12:00 pm,5,32,,
Hebei,Mainland China,1/23/20 12:00 pm,1,,,1
Heilongjiang,Mainland China,1/23/20 12:00 pm,2,,,
Henan,Mainland China,1/23/20 12:00 pm,5,,,
Hong Kong,Hong Kong,1/23/20 12:00 pm,2,65,,
Hubei,Mainland China,1/23/20 12:00 pm,444,,28,17
Hunan,Mainland China,1/23/20 12:00 pm,9,,,
Inner Mongolia,Mainland China,1/23/20 12:00 pm,,1,,
Jiangsu,Mainland China,1/23/20 12:00 pm,5,,,
Jiangxi,Mainland China,1/23/20 12:00 pm,7,,,
Jilin,Mainland China,1/23/20 12:00 pm,1,,,
Liaoning,Mainland China,1/23/20 12:00 pm,3,,,
Macau,Macau,1/23/20 12:00 pm,2,,,
Ningxia,Mainland China,1/23/20 12:00 pm,1,,,
Qinghai,Mainland China,1/23/20 12:00 pm,,,,
Shaanxi,Mainland China,1/23/20 12:00 pm,3,1,,
Shandong,Mainland China,1/23/20 12:00 pm,6,2,,
Shanghai,Mainland China,1/23/20 12:00 pm,16,22,,
Shanxi,Mainland China,1/23/20 12:00 pm,1,,,
Sichuan,Mainland China,1/23/20 12:00 pm,8,2,,
Taiwan,Taiwan,1/23/20 12:00 pm,1,,,
Tianjin,Mainland China,1/23/20 12:00 pm,4,,,
Tibet,Mainland China,1/23/20 12:00 pm,,,,
Washington,US,1/23/20 12:00 pm,1,,,
Xinjiang,Mainland China,1/23/20 12:00 pm,2,,,
Yunnan,Mainland China,1/23/20 12:00 pm,2,,,
Zhejiang,Mainland China,1/23/20 12:00 pm,27,,,
,Japan,1/23/20 12:00 pm,1,,,
,Thailand,1/23/20 12:00 pm,3,,,
,South Korea,1/23/20 12:00 pm,1,,,
,Singapore,1/23/20 12:00 pm,1,,,
,Philippines,1/23/20 12:00 pm,,4,,
,Malaysia,1/23/20 12:00 pm,,4,,
,Vietnam,1/23/20 12:00 pm,2,,,
,Australia,1/23/20 12:00 pm,,1,,
,Mexico,1/23/20 12:00 pm,,1,,
,Brazil,1/23/20 12:00 pm,,1,,
,Colombia,1/23/20 12:00 pm,,1,,
