Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Deaths,Datasource,Datasource_link
北海道,Japan,1/25/2020 12:00,0,0,0,0,,
青森県,Japan,1/25/2020 12:00,0,0,0,0,,
岩手県,Japan,1/25/2020 12:00,0,0,0,0,,
宮城県,Japan,1/25/2020 12:00,0,0,0,0,,
秋田県,Japan,1/25/2020 12:00,0,0,0,0,,
山形県,Japan,1/25/2020 12:00,0,0,0,0,,
福島県,Japan,1/25/2020 12:00,0,0,0,0,,
茨城県,Japan,1/25/2020 12:00,0,0,0,0,,
栃木県,Japan,1/25/2020 12:00,0,0,0,0,,
群馬県,Japan,1/25/2020 12:00,0,0,0,0,,
埼玉県,Japan,1/25/2020 12:00,0,0,0,0,,
千葉県,Japan,1/25/2020 12:00,0,0,0,0,,
東京都,Japan,1/25/2020 12:00,2,0,0,0,厚生労働省,https://www.mhlw.go.jp/stf/newpage_09099.html
神奈川県,Japan,1/25/2020 12:00,1,0,1,0,,
新潟県,Japan,1/25/2020 12:00,0,0,0,0,,
富山県,Japan,1/25/2020 12:00,0,0,0,0,,
石川県,Japan,1/25/2020 12:00,0,0,0,0,,
福井県,Japan,1/25/2020 12:00,0,0,0,0,,
山梨県,Japan,1/25/2020 12:00,0,0,0,0,,
長野県,Japan,1/25/2020 12:00,0,0,0,0,,
岐阜県,Japan,1/25/2020 12:00,0,0,0,0,,
静岡県,Japan,1/25/2020 12:00,0,0,0,0,,
愛知県,Japan,1/25/2020 12:00,0,0,0,0,,
三重県,Japan,1/25/2020 12:00,0,0,0,0,,
滋賀県,Japan,1/25/2020 12:00,0,0,0,0,,
京都府,Japan,1/25/2020 12:00,0,0,0,0,,
大阪府,Japan,1/25/2020 12:00,0,0,0,0,,
兵庫県,Japan,1/25/2020 12:00,0,0,0,0,,
奈良県,Japan,1/25/2020 12:00,0,0,0,0,,
和歌山県,Japan,1/25/2020 12:00,0,0,0,0,,
鳥取県,Japan,1/25/2020 12:00,0,0,0,0,,
島根県,Japan,1/25/2020 12:00,0,0,0,0,,
岡山県,Japan,1/25/2020 12:00,0,0,0,0,,
広島県,Japan,1/25/2020 12:00,0,0,0,0,,
山口県,Japan,1/25/2020 12:00,0,0,0,0,,
徳島県,Japan,1/25/2020 12:00,0,0,0,0,,
香川県,Japan,1/25/2020 12:00,0,0,0,0,,
愛媛県,Japan,1/25/2020 12:00,0,0,0,0,,
高知県,Japan,1/25/2020 12:00,0,0,0,0,,
福岡県,Japan,1/25/2020 12:00,0,0,0,0,,
佐賀県,Japan,1/25/2020 12:00,0,0,0,0,,
長崎県,Japan,1/25/2020 12:00,0,0,0,0,,
熊本県,Japan,1/25/2020 12:00,0,0,0,0,,
大分県,Japan,1/25/2020 12:00,0,0,0,0,,
宮崎県,Japan,1/25/2020 12:00,0,0,0,0,,
鹿児島県,Japan,1/25/2020 12:00,0,0,0,0,,
沖縄県,Japan,1/25/2020 12:00,0,0,0,0,,
